region,match_time,team1,team1acro,team2,team2acro,game_ids,game_hashes,match_url
LCK,2019-06-21T11:00:00.000+0000,KING-ZONE DragonX,KZ,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a726a5c2-ac47-495b-bef1-36cf26da0dc2
LCK,2019-06-22T08:00:00.000+0000,SK telecom T1,SKT,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=9b78678f-0db1-4958-8780-c2cab2bd29b9
LCK,2019-06-22T11:00:00.000+0000,Jin Air Greenwings,JAG,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=059c77d7-f0ea-4937-ab83-03f1ddc6e745
LCK,2019-06-23T08:00:00.000+0000,Afreeca Freecs,AF,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=42face92-2ecc-4ec2-a4dd-0b3522a0a874
LCK,2019-06-23T11:00:00.000+0000,kt Rolster,KT,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2ccf621d-9737-4010-aae9-6960c7b84b11
LCK,2019-06-26T08:00:00.000+0000,Gen.G,GEN,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2d71ac44-3ce0-4a13-b6f2-6c4b93e526aa
LCK,2019-06-26T11:00:00.000+0000,Jin Air Greenwings,JAG,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=4fdf8b0b-5643-4a66-880f-baca30a89b2c
LCK,2019-06-27T08:00:00.000+0000,Afreeca Freecs,AF,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=01bd42fc-95d3-4d1a-a397-28cfdc0441a6
LCK,2019-06-27T11:00:00.000+0000,SK telecom T1,SKT,kt Rolster,KT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a1e4a95b-3575-4725-8b7c-4754a4fec781
LCK,2019-06-28T08:00:00.000+0000,KING-ZONE DragonX,KZ,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=48e32794-12c6-428c-b84c-4610f2eff5c0
LCK,2019-06-28T11:00:00.000+0000,Jin Air Greenwings,JAG,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=1262b335-909c-412c-a890-6bfbe7b2688a
LCK,2019-06-29T08:00:00.000+0000,SK telecom T1,SKT,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=398df08f-528f-44e6-90d0-9f292b10cbbd
LCK,2019-06-29T11:00:00.000+0000,kt Rolster,KT,Afreeca Freecs,AF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=8212e376-0295-40e1-8ec9-ba259ad60158
LCK,2019-06-30T08:00:00.000+0000,Hanwha Life Esports,HLE,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a738d189-f35f-4a52-88ba-59f8448ff1d4
LCK,2019-06-30T11:00:00.000+0000,KING-ZONE DragonX,KZ,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=8253e34d-0c42-4deb-b7ca-de30eed70282
LCK,2019-07-10T08:00:00.000+0000,kt Rolster,KT,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=28c23fb5-39b7-4685-9c48-67b6613f7a68
LCK,2019-07-10T11:00:00.000+0000,SK telecom T1,SKT,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=ec1e66ff-0529-4ba2-80e1-251194735faa
LCK,2019-07-11T08:00:00.000+0000,DAMWON Gaming,DWG,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=324db8cf-b358-48c3-bc4a-6d1987d97746
LCK,2019-07-11T11:00:00.000+0000,Jin Air Greenwings,JAG,Afreeca Freecs,AF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2c122a9c-b3c6-4759-a4d2-385a41f98d2b
LCK,2019-07-12T08:00:00.000+0000,GRIFFIN,GRF,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=7f0de047-e4d9-455f-9a63-30e2c9697553
LCK,2019-07-12T11:00:00.000+0000,SK telecom T1,SKT,kt Rolster,KT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=bb4738fc-1620-4b0e-8022-b6fee7c319ab
LCK,2019-07-13T08:00:00.000+0000,Jin Air Greenwings,JAG,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a8339ced-a4be-4117-babc-67a33d4e1ce9
LCK,2019-07-13T11:00:00.000+0000,KING-ZONE DragonX,KZ,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=b9980f84-7bd8-42ad-b22e-5152ac6995f5
LCK,2019-07-14T08:00:00.000+0000,Afreeca Freecs,AF,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=090e5fd2-91f3-45e2-8d1a-47d4a4b2e42c
LCK,2019-07-14T11:00:00.000+0000,Gen.G,GEN,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=7fae4cdc-5b0e-4f4b-8c97-1419979420e1
LCK,2019-07-18T08:00:00.000+0000,Gen.G,GEN,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=c68e853a-911c-4969-bbba-27e215fe5bf0
LCK,2019-07-18T11:00:00.000+0000,KING-ZONE DragonX,KZ,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=4b845693-6f44-4a9d-8594-2fbc74afcd11
LCK,2019-07-19T08:00:00.000+0000,SK telecom T1,SKT,Jin Air Greenwings,JAG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=56a8e0d0-7d84-4b29-8b2b-999da27c84d5
LCK,2019-07-19T11:00:00.000+0000,kt Rolster,KT,Afreeca Freecs,AF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=3dce02b1-945c-4f20-9997-b0f77d827054
LCK,2019-07-20T08:00:00.000+0000,GRIFFIN,GRF,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=37236522-d3de-413c-a55c-17008c6a468f
LCK,2019-07-20T11:00:00.000+0000,KING-ZONE DragonX,KZ,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=e88bb960-24c1-487f-948e-a1ac1f882c05
LCK,2019-07-21T08:00:00.000+0000,Jin Air Greenwings,JAG,Afreeca Freecs,AF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2374dfe8-0b29-4bd4-9e9d-0e6df10a9217
LCK,2019-07-21T11:00:00.000+0000,Hanwha Life Esports,HLE,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=9941cced-0d55-4fa9-a17a-39029189724a
LCK,2019-07-25T08:00:00.000+0000,kt Rolster,KT,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=f02260db-af60-47ce-af6d-374fd3d39af6
LCK,2019-07-25T11:00:00.000+0000,SK telecom T1,SKT,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=75c9a686-5fef-4efe-b0a2-20fcbe586ce8
LCK,2019-07-26T08:00:00.000+0000,DAMWON Gaming,DWG,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=7680933d-e2b1-4478-896f-118455066258
LCK,2019-07-26T11:00:00.000+0000,Jin Air Greenwings,JAG,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=35451123-526e-408e-bc83-9134bf3b16f4
LCK,2019-07-27T08:00:00.000+0000,Afreeca Freecs,AF,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=60963b0b-8fef-4583-aaab-9e3784918795
LCK,2019-07-27T11:00:00.000+0000,kt Rolster,KT,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=82a532ef-d316-4ef9-9d17-33cc258eff36
LCK,2019-07-28T08:00:00.000+0000,SK telecom T1,SKT,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=1d1a6169-291f-4c9e-9c1b-a65c811d893c
LCK,2019-07-28T11:00:00.000+0000,Jin Air Greenwings,JAG,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=439c931a-dcea-4de6-8815-5da17d62add2
LCK,2019-08-01T08:00:00.000+0000,SK telecom T1,SKT,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=9b600a7b-a645-4b92-aab2-276a2233d0e4
LCK,2019-08-01T11:00:00.000+0000,Afreeca Freecs,AF,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=aa928d8c-58f7-4041-a611-ecfe8c628f45
LCK,2019-08-02T08:00:00.000+0000,kt Rolster,KT,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=baff0c7e-78e1-4b96-8618-2d6df9cc7f91
LCK,2019-08-02T11:00:00.000+0000,GRIFFIN,GRF,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=32acb75c-8bb3-4490-aedb-ace43a915505
LCK,2019-08-03T08:00:00.000+0000,Jin Air Greenwings,JAG,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=64a4e543-ba4f-4c1b-aa96-2f95caba8bad
LCK,2019-08-03T11:00:00.000+0000,SK telecom T1,SKT,Afreeca Freecs,AF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a19d76c1-c9ec-4d6e-9915-d38226c5238e
LCK,2019-08-04T08:00:00.000+0000,Hanwha Life Esports,HLE,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=b502165a-63b9-4e7b-a004-285a3ff778c6
LCK,2019-08-04T11:00:00.000+0000,KING-ZONE DragonX,KZ,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=513ae776-3793-4bd4-827a-d85cc127478f
LCK,2019-08-08T08:00:00.000+0000,Jin Air Greenwings,JAG,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=ad0ed914-d6eb-434f-9567-57cf1719df54
LCK,2019-08-08T11:00:00.000+0000,kt Rolster,KT,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=fead4bd1-aa8f-434b-98b4-4e153deea27d
LCK,2019-08-09T08:00:00.000+0000,Afreeca Freecs,AF,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=e3e933a5-7750-4916-bdf9-3dbaa31f7a49
LCK,2019-08-09T11:00:00.000+0000,GRIFFIN,GRF,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=bb0e7763-1cf3-4726-a27e-3e6fa047f94c
LCK,2019-08-10T08:00:00.000+0000,SK telecom T1,SKT,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=edfcf0d1-b462-4c31-a1cc-f017f780b233
LCK,2019-08-10T11:00:00.000+0000,Jin Air Greenwings,JAG,kt Rolster,KT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=796c45b1-8e5e-43b2-b640-b6acd0bb9ed0
LCK,2019-08-11T08:00:00.000+0000,KING-ZONE DragonX,KZ,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=561e5621-28f6-4cbf-89a1-91cdfde79611
LCK,2019-08-11T11:00:00.000+0000,Afreeca Freecs,AF,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=acab8147-3750-4543-9ead-c08b34a843fb
LCK,2019-08-15T08:00:00.000+0000,SK telecom T1,SKT,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=7015eb6b-3057-4bff-a5cd-008f385bc806
LCK,2019-08-15T11:00:00.000+0000,kt Rolster,KT,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a1f453de-93ab-415c-880f-449fe58ce707
LCK,2019-08-16T08:00:00.000+0000,Jin Air Greenwings,JAG,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=e05612d5-b8aa-48b2-a4b5-36c0fcce4307
LCK,2019-08-16T11:00:00.000+0000,Afreeca Freecs,AF,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=fd297186-08f6-4066-8106-da9fb739cb46
LCK,2019-08-17T08:00:00.000+0000,kt Rolster,KT,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=e4a84105-c350-435d-ac42-083cf1e734f1
LCK,2019-08-17T11:00:00.000+0000,SK telecom T1,SKT,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=1ea66631-2fcd-4516-9832-0d68880f2118
LCK,2019-08-18T08:00:00.000+0000,Gen.G,GEN,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=0ded8957-3999-4dac-bc41-dd723da35489
LCK,2019-08-18T11:00:00.000+0000,GRIFFIN,GRF,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=4139833d-1653-4d9d-86c5-54cf8d9d3447
,,,,,,,,
NALCS,2019-06-01T21:00:00.000+0000,Cloud9,C9,FlyQuest,FLY,1092338,205db232780f91a9,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=5dda7668-1e67-46f3-a1d6-4c04f6c6c662
NALCS,2019-06-01T22:00:00.000+0000,TSM,TSM,Team Liquid,TL,1092362,f170dc025f0afbbe,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=2cec5a95-489c-4d9e-abb8-b2bc760d1dea
NALCS,2019-06-01T23:00:00.000+0000,Counter Logic Gaming,CLG,100 Thieves,100,1092372,dc493e5e2cd3a013,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=1db598ef-e33c-4a25-b103-134230ae181d
NALCS,2019-06-02T00:00:00.000+0000,Clutch Gaming,CG,OpTic Gaming,OPT,1092386,7ffddcb7718957c0,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=acd89fce-366b-4517-ae7e-0f742bd92e11
NALCS,2019-06-02T01:00:00.000+0000,Echo Fox,FOX,Golden Guardians,GGS,1092401,9f1e605cb2161c11,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=c7db93b1-fab7-465f-9ef7-5496f9558635
NALCS,2019-06-02T19:00:00.000+0000,Cloud9,C9,Clutch Gaming,CG,1092517,273fd076e309f6c3,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=9d1753e0-58ed-4163-b674-01f08d3f27ba
NALCS,2019-06-02T20:00:00.000+0000,FlyQuest,FLY,Golden Guardians,GGS,1092535,8de06bcb6568a06a,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=ec206f9c-469f-42ce-b3a0-54d1fa1f97f0
NALCS,2019-06-02T21:00:00.000+0000,Team Liquid,TL,Echo Fox,FOX,1092552,8523657f4306927a,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=7c1b6109-3284-4486-9db0-f2402a53dbe5
NALCS,2019-06-02T22:00:00.000+0000,TSM,TSM,Counter Logic Gaming,CLG,1092561,3a4e7b686a82258e,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=6b3d947f-b9c3-4d07-a598-2a4d8e1240d7
NALCS,2019-06-02T23:00:00.000+0000,100 Thieves,100,OpTic Gaming,OPT,1092577,042a2461bd6773e5,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=d5aaa700-43f9-4b49-833f-7894acde5cec
NALCS,2019-06-08T21:00:00.000+0000,Cloud9,C9,Echo Fox,FOX,1131772,b3c11776c249e91a,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=4349c375-33eb-4f32-b708-90b7e44bcebd
NALCS,2019-06-08T22:00:00.000+0000,Team Liquid,TL,100 Thieves,100,1131801,078cbac4fb568b1f,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=ab1d08f6-8ed5-4b5f-bdf2-c4f13955a9a1
NALCS,2019-06-08T23:00:00.000+0000,TSM,TSM,FlyQuest,FLY,1131814,be03806ba284db5f,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=6db2a5d4-9f10-4e7c-8530-8e170fc251ee
NALCS,2019-06-09T00:00:00.000+0000,Counter Logic Gaming,CLG,OpTic Gaming,OPT,1131825,486c73fab8a07768,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=74b1fa0f-f3cd-49ad-bb3d-0601bda9c4ed
NALCS,2019-06-09T01:00:00.000+0000,Golden Guardians,GGS,Clutch Gaming,CG,1131837,6a133d17a4f7bb52,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=7fdc128c-09f7-4927-86f8-c5cb8a5fb453
NALCS,2019-06-09T19:00:00.000+0000,Counter Logic Gaming,CLG,Team Liquid,TL,1132010,5f348ce7978d0f71,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=46519b89-3811-4aba-a210-5ae3cd37531d
NALCS,2019-06-09T20:00:00.000+0000,Clutch Gaming,CG,100 Thieves,100,1132049,86abf44ece94c765,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=4f437f89-0833-42cc-b435-ff5a7e1838e2
NALCS,2019-06-09T21:00:00.000+0000,TSM,TSM,Echo Fox,FOX,1132064,a9d9251808c97cae,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=8a5fa310-463a-493b-a2c7-6a39dbe80eff
NALCS,2019-06-09T22:00:00.000+0000,Cloud9,C9,Golden Guardians,GGS,1132087,983c39877f3d6ffd,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=dc4a2e41-d9bd-4c3e-ad45-a1de10379756
NALCS,2019-06-09T23:00:00.000+0000,FlyQuest,FLY,OpTic Gaming,OPT,1132103,7a350210fef25a18,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=dd0c64ce-9736-4b62-b2b3-c6cde67c628a
NALCS,2019-06-15T21:00:00.000+0000,Team Liquid,TL,FlyQuest,FLY,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=19b58572-70d3-4826-a9e0-92953e5ccc96
NALCS,2019-06-15T22:00:00.000+0000,Cloud9,C9,OpTic Gaming,OPT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=c62687b5-306d-4061-9f7b-e0bc696944fc
NALCS,2019-06-15T23:00:00.000+0000,Counter Logic Gaming,CLG,Echo Fox,FOX,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=9b64504a-8c09-4ce1-b468-33773e92065e
NALCS,2019-06-16T00:00:00.000+0000,TSM,TSM,Clutch Gaming,CG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=e14ac85d-c5c7-4832-9323-d013d9012556
NALCS,2019-06-16T01:00:00.000+0000,Golden Guardians,GGS,100 Thieves,100,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=bdb6c013-9be0-4057-bea1-a6ca6d96b7dd
NALCS,2019-06-16T19:00:00.000+0000,Team Liquid,TL,OpTic Gaming,OPT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=2454a6f0-f07c-43de-b20b-8f3d18b7d189
NALCS,2019-06-16T20:00:00.000+0000,Echo Fox,FOX,100 Thieves,100,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=2f2f56b9-2907-4185-aa89-2a48991fd65d
NALCS,2019-06-16T21:00:00.000+0000,TSM,TSM,Cloud9,C9,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=d292ac26-5340-4c7c-a2af-1103a5bf7119
NALCS,2019-06-16T22:00:00.000+0000,FlyQuest,FLY,Clutch Gaming,CG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=4bc27c4b-58fd-468d-9ceb-5c337ef6d39f
NALCS,2019-06-16T23:00:00.000+0000,Counter Logic Gaming,CLG,Golden Guardians,GGS,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=25bfc18c-b00d-4d10-b821-7dd407a0682c
NALCS,2019-06-22T21:00:00.000+0000,Team Liquid,TL,Golden Guardians,GGS,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=9c988885-0ef3-4955-935f-a5c430666eee
NALCS,2019-06-22T22:00:00.000+0000,TSM,TSM,OpTic Gaming,OPT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=7550669e-96c5-48aa-b4f0-6bea50ceaf3c&matchId=52fd6275-cfe7-45d5-8d91-0870dc0283d1
