region,match_time,team1,team1acro,team2,team2acro,game_ids,game_hashes,match_url
OPL,2019-07-13T07:00:00.000+0000,The Chiefs Esports Club,CHF,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=12505e0a-37a7-44d5-87cb-b1731092b9ae
OPL,2019-07-13T08:00:00.000+0000,Bombers,BMR,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=7a17e53e-f888-4020-a16e-9c890d5231f5
OPL,2019-07-13T09:00:00.000+0000,Avant Gaming,AV,Legacy Esports,LGC,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=79224dbe-45a2-4b74-82ec-aca7ce26ff2e
OPL,2019-07-19T06:00:00.000+0000,Avant Gaming,AV,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=50b53a96-7d38-4591-9a66-6b4f6bc585cc
OPL,2019-07-19T07:00:00.000+0000,The Chiefs Esports Club,CHF,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=a7e2ced8-d6a5-4f89-8609-c8c869de4265
OPL,2019-07-19T08:00:00.000+0000,Legacy Esports,LGC,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=991009ce-8933-4e1d-8b28-6942f1c77c9c
OPL,2019-07-19T09:00:00.000+0000,Dire Wolves,DW,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=ad7e6acb-bbea-4d4a-94be-01efed2baea3
OPL,2019-07-20T06:00:00.000+0000,Avant Gaming,AV,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=8b607ec8-379b-4ba3-9437-5da2f4d3f38e
OPL,2019-07-20T07:00:00.000+0000,The Chiefs Esports Club,CHF,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=befc11c2-2b8c-4349-8918-4c0e9b6d5997
OPL,2019-07-20T08:00:00.000+0000,Dire Wolves,DW,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=a61252dc-2f89-4fa0-9b27-61aa35b1e82f
OPL,2019-07-20T09:00:00.000+0000,Legacy Esports,LGC,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=3e4d3914-75e9-46b3-bd93-21c5a4275bea
OPL,2019-07-26T06:00:00.000+0000,Bombers,BMR,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=60e4135f-fe32-4224-9784-18369cf2c3ac
OPL,2019-07-26T07:00:00.000+0000,Order,ORD,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=696b4be9-9672-4e1e-82a0-06cec4e1a2a9
OPL,2019-07-26T08:00:00.000+0000,The Chiefs Esports Club,CHF,Legacy Esports,LGC,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=628d480c-d824-438d-81ec-662be53cdefe
OPL,2019-07-26T09:00:00.000+0000,Avant Gaming,AV,Dire Wolves,DW,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=8cb75482-fb82-4c1d-935b-87b847d65f83
OPL,2019-07-27T06:00:00.000+0000,Legacy Esports,LGC,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=83168c4f-221a-47d3-a16c-b8858c8097be
OPL,2019-07-27T07:00:00.000+0000,Dire Wolves,DW,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=21683e60-2cd8-4d12-9743-fc86f55c2285
OPL,2019-07-27T08:00:00.000+0000,Order,ORD,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=c3a321d5-1099-484b-bc53-c9da59d97d73
OPL,2019-07-27T09:00:00.000+0000,Avant Gaming,AV,The Chiefs Esports Club,CHF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=436d1722-a125-4d08-b4d3-bd9145b56495
